epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,785.968,0.60881,0.50842,0.90804,0.65665,0.75683,0.72112,0.58186,0.81117,1.05581,1.07682,0.000693305,0.000693305,0.000693305
61,799.015,0.60457,0.51077,0.90957,0.70478,0.72031,0.74992,0.61277,0.77957,0.99199,1.06635,0.000676802,0.000676802,0.000676802
62,812.057,0.59434,0.47512,0.9081,0.76432,0.73162,0.77045,0.63401,0.77524,0.93187,1.04903,0.000660299,0.000660299,0.000660299
63,825.159,0.604,0.50858,0.90033,0.7209,0.74347,0.73227,0.58939,0.79187,1.02782,1.07442,0.000643795,0.000643795,0.000643795
64,838.212,0.60314,0.47269,0.90703,0.74092,0.70266,0.73448,0.60311,0.77182,1.12944,1.05555,0.000627292,0.000627292,0.000627292
65,851.228,0.59526,0.48944,0.91386,0.68826,0.7685,0.73762,0.60026,0.77824,1.03017,1.06439,0.000610789,0.000610789,0.000610789
66,864.284,0.5797,0.4756,0.89239,0.71349,0.7676,0.76409,0.62665,0.77988,0.98928,1.06716,0.000594286,0.000594286,0.000594286
67,877.362,0.59608,0.47511,0.90817,0.76097,0.73407,0.74914,0.61786,0.77978,1.03003,1.07093,0.000577782,0.000577782,0.000577782
68,890.384,0.59865,0.47244,0.91101,0.75054,0.74985,0.73887,0.59973,0.78255,0.9678,1.06414,0.000561279,0.000561279,0.000561279
69,903.408,0.5785,0.44321,0.89393,0.7746,0.66895,0.7202,0.58455,0.78239,1.13627,1.06132,0.000544776,0.000544776,0.000544776
70,916.438,0.56769,0.44863,0.89913,0.71687,0.75856,0.75246,0.61435,0.7822,0.97949,1.07039,0.000528272,0.000528272,0.000528272
71,929.477,0.55317,0.4467,0.8887,0.75082,0.70868,0.7517,0.61528,0.75751,0.99366,1.0601,0.000511769,0.000511769,0.000511769
72,942.484,0.5634,0.42711,0.89022,0.78486,0.69662,0.74816,0.60976,0.77035,1.07544,1.06271,0.000495266,0.000495266,0.000495266
73,955.528,0.56275,0.423,0.88702,0.7744,0.73587,0.75856,0.61905,0.77034,0.96992,1.05525,0.000478762,0.000478762,0.000478762
74,968.566,0.55653,0.42965,0.88641,0.71501,0.75651,0.75435,0.61633,0.78335,1.04179,1.07622,0.000462259,0.000462259,0.000462259
